,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
470,721,the visit,0,4,12,4
471,722,busanhaeng,7,1,12,46
472,723,hotel transylvania: transformania,5,10,16,2
473,724,dark shadows,2,8,2,6
474,725,sleepy hollow,3,1,4,58
475,726,zombieland,7,3,2,37
476,727,don't breathe,1,1,12,89
477,728,friday the 13th,0,4,12,4
478,729,the others,0,4,12,4
479,730,don't breathe 2,7,2,2,83
480,731,jaws 3-d,4,1,12,52
481,732,antlers,6,1,4,30
482,733,resident evil,7,1,6,35
483,734,the meg,7,1,6,35
484,735,blade,7,1,6,35
485,736,ghostland,6,1,4,30
486,737,gokseong,6,1,4,30
487,738,event horizon,0,6,12,38
488,739,the conjuring: the devil made me do it,0,4,12,4
489,740,death note,1,11,8,75
490,741,the descent,4,1,12,52
491,742,they live,7,1,6,35
492,743,the craft,6,8,2,10
493,744,beetlejuice 2,2,8,2,6
494,745,hollow man,7,1,6,35
495,746,the dead don't die,2,8,2,6
496,747,the house that jack built,1,11,2,34
497,748,earth vs. the flying saucers,7,1,6,35
498,749,choose or die,6,1,12,65
499,750,glass,6,1,6,3
500,751,gremlins,2,8,2,6
501,752,hidden,0,6,12,38
502,754,bone tomahawk,6,1,13,65
503,755,ang-ma-reul bo-at-da,7,2,11,44
504,756,little shop of horrors,2,1,15,43
505,757,hellboy ii: the golden army,7,10,8,20
506,758,the purge,0,6,12,38
507,759,underworld: blood wars,7,10,8,20
508,760,jaws: the revenge,4,1,12,52
509,761,alien resurrection,7,1,6,35
510,762,things heard & seen,6,1,4,30
511,764,the empty man,0,4,12,4
512,765,the ritual,0,4,12,4
513,766,crimson peak,6,1,4,30
514,767,antichrist,6,1,12,65
515,768,unhinged,7,1,12,46
516,769,the nun,0,4,12,4
517,770,eight for silver,3,1,4,58
518,771,the boy,0,4,12,4
519,772,gerald's game,6,1,12,65
520,773,cloverfield,7,1,6,35
521,774,the eden theory,0,6,12,38
522,775,my demon lover,2,8,2,6
523,776,underwater,7,1,6,35
524,777,unhuman,2,1,12,12
525,778,the covenant,7,10,8,20
526,779,escape room,7,10,2,48
527,780,the forever purge,7,1,12,46
528,781,urban legend,0,4,12,4
529,782,alien³,7,1,6,35
530,783,death becomes her,2,8,2,6
531,784,climax,6,1,7,3
532,785,mandy,7,8,2,81
533,786,freaky,2,1,12,12
534,787,the witches,4,3,0,7
535,788,marrowbone,4,11,2,50
536,789,the shallows,7,11,2,97
537,790,the cloverfield paradox,7,1,6,35
538,791,escape room: tournament of champions,7,10,2,48
539,792,the cell,1,1,6,60
540,793,the invitation,6,1,4,30
541,794,legion,7,8,2,81
542,795,the conjuring 2,0,4,12,4
543,796,halloween,1,1,12,89
544,804,where the crawdads sing,6,4,12,23
545,806,terror on the prairie,6,12,13,27
546,815,zero dark thirty,6,7,12,19
547,819,the talented mr. ripley,1,11,12,15
548,822,killers of the flower moon,1,11,5,11
549,823,fifty shades of grey,6,9,12,63
550,824,a call to spy,8,2,11,66
551,826,se7en,1,11,4,11
552,829,thirteen lives,8,11,12,14
553,831,deep water,6,4,12,23
554,837,nightmare alley,1,11,12,15
555,838,the departed,1,11,12,15
556,842,the outfit,1,11,4,11
557,845,joker,1,11,12,15
558,847,the card counter,1,11,12,15
559,861,the silence of the lambs,1,11,12,15
560,868,eyes wide shut,6,4,12,23
561,869,prisoners,1,11,4,11
562,870,the guilty,1,11,12,15
563,880,gone girl,6,4,12,23
564,881,the prestige,6,4,6,88
565,885,primal fear,1,11,4,11
566,886,no country for old men,1,11,12,15
567,890,the lincoln lawyer,1,11,4,11
568,891,idi i smotri,6,12,14,27
569,893,the voyeurs,6,4,12,23
570,894,stillwater,1,11,12,15
571,895,wind river,1,11,4,11
572,897,the devil's advocate,6,4,12,23
573,901,make up,6,4,12,23
574,902,ex machina,6,6,12,19
575,913,donnie darko,6,4,6,88
576,916,a time to kill,1,11,12,15
577,920,uncut gems,1,11,12,15
578,922,widows,1,11,12,15
579,924,the usual suspects,1,11,4,11
580,929,ah-ga-ssi,6,9,12,63
581,934,promising young woman,1,11,4,11
582,939,the imitation game,8,11,12,14
583,941,true romance,1,11,9,8
584,942,reservoir dogs,1,11,12,15
585,945,the hateful eight,1,11,4,11
586,946,heojil kyolshim,1,11,4,11
587,952,basic instinct,6,4,12,23
588,953,the sixth sense,6,4,12,23
589,958,passengers,6,9,6,68
590,961,the devil all the time,1,11,12,15
591,963,the counselor,1,11,12,15
592,964,mulholland dr.,6,4,12,23
593,965,the snowman,1,11,12,15
594,968,unfaithful,6,9,12,63
595,969,sleepers,1,11,12,15
596,971,infinite,7,6,12,71
597,976,midnight in the switchgrass,7,2,12,0
598,977,minority report,7,2,4,13
599,978,nightcrawler,1,11,12,15
600,981,john wick: chapter 2,7,2,12,0
601,986,the maze runner,7,4,6,32
602,989,contraband,7,2,11,44
603,993,chinatown,6,4,12,23
604,996,kira & el gin,7,11,5,74
605,997,the little things,1,11,4,11
606,999,in time,7,6,12,71
607,1002,brimstone,6,4,12,23
608,1003,fast x,7,2,4,13
609,1004,fifty shades freed,6,9,12,63
